file_name,geoffrey_hinton,vapnik,bernard_scholkopf,thomas_l_griffiths,yann_lecun,xiaojin_zhu,yee_whye_teh,radford_neal,david_blei,alex_smola,michael_jordan,zoubin_ghahramani,daphne_koller,lawrence_saul,trevor_hastie,thorsten_joachims,yoshua_bengio,andrew_y_ng,tom_mitchell,robert_tibshirani
alex_smola_1.txt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
alex_smola_10.txt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
andrew_y_ng_1.txt,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
andrew_y_ng_11.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
bernard_scholkopf_1.txt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bernard_scholkopf_11.txt,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
daphne_koller_1.txt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
daphne_koller_10.txt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
david_blei_1.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
david_blei_14.txt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
geoffrey_hinton_10.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
geoffrey_hinton_11.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lawrence_saul_1.txt,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lawrence_saul_10.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
michael_jordan_1.txt,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
michael_jordan_11.txt,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
radford_neal_12.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
radford_neal_13.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
robert_tibshirani_1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
robert_tibshirani_11.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
thomas_l_griffiths_1.txt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thomas_l_griffiths_10.txt,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thorsten_joachims_1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
thorsten_joachims_10.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tom_mitchell_10.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tom_mitchell_11.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
trevor_hastie_1.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
trevor_hastie_11.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
vapnik_1.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vapnik_13.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xiaojin_zhu_1.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xiaojin_zhu_10.txt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yann_lecun_1.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yann_lecun_16.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yee_whye_teh_1.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yee_whye_teh_10.txt,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
yoshua_bengio_10.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
yoshua_bengio_12.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zoubin_ghahramani_1.txt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
zoubin_ghahramani_11.txt,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
